PackageId,Address,PlannedGaylord,PlannedRangeMin,PlannedRangeMax,ActualGaylord,ActualRangeMin,ActualRangeMax,IsCorrect,SpawnTime,LandingTime
1,602,SortPoint_16_Left,572,607,,,,,0.388,
2,90,SortPoint_2_Left,72,107,,,,,0.798,
3,956,SortPoint_26_Left,930,964,,,,,1.209,
4,176,SortPoint_4_Left,144,179,,,,,1.616,
5,651,SortPoint_18_Left,644,679,,,,,2.031,
6,936,SortPoint_26_Left,930,964,,,,,2.432,
7,190,SortPoint_5_Right,180,214,,,,,2.837,
8,455,SortPoint_12_Left,430,464,,,,,3.247,
9,729,SortPoint_20_Left,715,750,,,,,3.654,
10,651,SortPoint_18_Left,644,679,,,,,4.065,
11,313,SortPoint_8_Left,287,321,,,,,4.473,
12,268,SortPoint_7_Right,251,286,,,,,4.873,
13,298,SortPoint_8_Left,287,321,,,,,5.280,
14,931,SortPoint_26_Left,930,964,,,,,5.684,
15,484,SortPoint_13_Right,465,500,,,,,6.088,
16,40,SortPoint_1_Right,37,71,,,,,6.492,
17,141,SortPoint_3_Right,108,143,,,,,6.897,
18,891,SortPoint_24_Left,858,893,,,,,7.301,
19,570,SortPoint_15_Right,537,571,,,,,7.707,
20,751,SortPoint_21_Right,751,786,,,,,8.111,
21,70,SortPoint_1_Right,37,71,,,,,8.515,
22,237,SortPoint_6_Left,215,250,,,,,8.918,
23,49,SortPoint_1_Right,37,71,,,,,9.323,
24,2,SortPoint_0_Left,1,36,,,,,9.731,
25,145,SortPoint_4_Left,144,179,,,,,10.134,
26,848,SortPoint_23_Right,822,857,,,,,10.542,
27,135,SortPoint_3_Right,108,143,,,,,10.948,
28,688,SortPoint_19_Right,680,714,,,,,11.354,
29,718,SortPoint_20_Left,715,750,,,,,11.764,
30,131,SortPoint_3_Right,108,143,,,,,12.169,
31,290,SortPoint_8_Left,287,321,,,,,12.574,
32,456,SortPoint_12_Left,430,464,,,,,12.979,
33,352,SortPoint_9_Right,322,357,,,,,13.387,
34,550,SortPoint_15_Right,537,571,,,,,13.799,
35,27,SortPoint_0_Left,1,36,,,,,14.206,
36,902,SortPoint_25_Right,894,929,,,,,14.616,
37,806,SortPoint_22_Left,787,821,,,,,15.023,
